context_tokens,mean_abs_relative_error_pct,rmse_relative_error_pct,max_abs_relative_error_pct,mean_relative_error_pct,passes_reproduction_guardrail,best_mean_abs_error,best_rmse,best_max_error,default_context,guardrail_window_min,guardrail_window_max,interpretation
1339,8.476994,10.056199,19.933881,-2.826522,0,0,0,0,0,977,1040,outside_guardrail
1340,8.477329,10.058375,19.949433,-2.832608,0,0,0,0,0,977,1040,outside_guardrail
1341,8.477664,10.060556,19.964980,-2.838693,0,0,0,0,0,977,1040,outside_guardrail
1342,8.478000,10.062743,19.980520,-2.844777,0,0,0,0,0,977,1040,outside_guardrail
1343,8.478335,10.064935,19.996054,-2.850859,0,0,0,0,0,977,1040,outside_guardrail
1344,8.478669,10.067133,20.011583,-2.856939,0,0,0,0,0,977,1040,outside_guardrail
1345,8.479004,10.069337,20.027105,-2.863019,0,0,0,0,0,977,1040,outside_guardrail
1346,8.479339,10.071546,20.042621,-2.869096,0,0,0,0,0,977,1040,outside_guardrail
1347,8.479673,10.073761,20.058132,-2.875172,0,0,0,0,0,977,1040,outside_guardrail
1348,8.480007,10.075981,20.073636,-2.881247,0,0,0,0,0,977,1040,outside_guardrail
1349,8.480342,10.078207,20.089134,-2.887320,0,0,0,0,0,977,1040,outside_guardrail
1350,8.480676,10.080438,20.104626,-2.893392,0,0,0,0,0,977,1040,outside_guardrail
1351,8.481009,10.082675,20.120113,-2.899463,0,0,0,0,0,977,1040,outside_guardrail
1352,8.481343,10.084918,20.135593,-2.905532,0,0,0,0,0,977,1040,outside_guardrail
1353,8.481677,10.087166,20.151067,-2.911599,0,0,0,0,0,977,1040,outside_guardrail
1354,8.482010,10.089419,20.166535,-2.917665,0,0,0,0,0,977,1040,outside_guardrail
1355,8.482343,10.091678,20.181998,-2.923730,0,0,0,0,0,977,1040,outside_guardrail
1356,8.482677,10.093943,20.197454,-2.929793,0,0,0,0,0,977,1040,outside_guardrail
1357,8.483010,10.096213,20.212904,-2.935855,0,0,0,0,0,977,1040,outside_guardrail
1358,8.483342,10.098488,20.228348,-2.941915,0,0,0,0,0,977,1040,outside_guardrail
1359,8.483675,10.100769,20.243787,-2.947974,0,0,0,0,0,977,1040,outside_guardrail
1360,8.484008,10.103055,20.259219,-2.954031,0,0,0,0,0,977,1040,outside_guardrail
1361,8.484340,10.105347,20.274645,-2.960087,0,0,0,0,0,977,1040,outside_guardrail
1362,8.484672,10.107644,20.290066,-2.966141,0,0,0,0,0,977,1040,outside_guardrail
1363,8.485004,10.109947,20.305480,-2.972194,0,0,0,0,0,977,1040,outside_guardrail
1364,8.485336,10.112255,20.320889,-2.978246,0,0,0,0,0,977,1040,outside_guardrail
1365,8.485668,10.114569,20.336291,-2.984296,0,0,0,0,0,977,1040,outside_guardrail
1366,8.486000,10.116888,20.351688,-2.990345,0,0,0,0,0,977,1040,outside_guardrail
