platform,platform_label,channels,chips_per_channel,dies_per_chip,planes_per_die,onfi_rate_MTps,onfi_bus_width_bits,ifc_frequency_MHz,ifc_ops_per_core_cycle,tile_height,tile_width,mean_reference_tokens_per_s,mean_simulated_tokens_per_s,mean_abs_relative_error_pct,max_abs_relative_error_pct,mean_speedup_vs_no_read_slicing,mean_speedup_vs_no_tiling,mean_read_compute_channel_rate_pct,max_controller_commands
cam_llm_s,Cambricon-LLM-S,8,2,2,2,1000.000000,8,1000.000000,64.000000,256.000000,2048.000000,1.785714,1.792107,4.322744,12.450223,1.729866,1.344290,1.706667,386180.157422
cam_llm_m,Cambricon-LLM-M,16,4,2,2,1000.000000,8,1000.000000,64.000000,362.038672,5792.618751,5.071429,5.004406,8.477559,11.949568,1.805091,1.333914,2.413591,96460.908802
cam_llm_l,Cambricon-LLM-L,32,8,2,2,1000.000000,8,1000.000000,64.000000,512.000000,16384.000000,16.014286,15.218835,12.268243,14.507683,1.948598,1.301659,3.413333,24084.817580
