model,platform,full_tokens_per_s,without_hardware_aware_tiling_tokens_per_s,speedup,paper_text_range
opt_6_7b,cam_llm_s,3.664621,2.731884,1.341426,1.3x-1.4x
opt_13b,cam_llm_s,1.877732,1.398021,1.343136,1.3x-1.4x
opt_30b,cam_llm_s,0.799188,0.594151,1.345092,1.3x-1.4x
opt_66b,cam_llm_s,0.350342,0.260223,1.346311,1.3x-1.4x
llama2_7b,cam_llm_s,3.643047,2.715699,1.341477,1.3x-1.4x
llama2_13b,cam_llm_s,1.877732,1.398021,1.343136,1.3x-1.4x
llama2_70b,cam_llm_s,0.337140,0.249837,1.349439,1.3x-1.4x
