sample_model,sample_platform,opcode,logical_id,slice_id,channel,chip,die,plane,issue_ns,channel_start_ns,channel_end_ns,array_start_ns,array_end_ns,complete_ns
opt_6_7b,cam_llm_s,READ_SLICE,0,1,6,1,1,1,90768.000,95120.000,99216.000,-1.000,-1.000,99216.000
opt_6_7b,cam_llm_s,READ_SLICE,0,1,7,1,1,1,90768.000,95120.000,99216.000,-1.000,-1.000,99216.000
opt_6_7b,cam_llm_s,READ_SLICE,0,2,0,1,1,1,90768.000,99216.000,103312.000,-1.000,-1.000,103312.000
opt_6_7b,cam_llm_s,READ_SLICE,0,2,1,1,1,1,90768.000,99216.000,103312.000,-1.000,-1.000,103312.000
opt_6_7b,cam_llm_s,READ_SLICE,0,2,2,1,1,1,90768.000,99216.000,103312.000,-1.000,-1.000,103312.000
opt_6_7b,cam_llm_s,READ_SLICE,0,2,3,1,1,1,90768.000,99216.000,103312.000,-1.000,-1.000,103312.000
opt_6_7b,cam_llm_s,READ_SLICE,0,2,4,1,1,1,90768.000,99216.000,103312.000,-1.000,-1.000,103312.000
opt_6_7b,cam_llm_s,READ_SLICE,0,2,5,1,1,1,90768.000,99216.000,103312.000,-1.000,-1.000,103312.000
opt_6_7b,cam_llm_s,READ_SLICE,0,2,6,1,1,1,90768.000,99216.000,103312.000,-1.000,-1.000,103312.000
opt_6_7b,cam_llm_s,READ_SLICE,0,2,7,1,1,1,90768.000,99216.000,103312.000,-1.000,-1.000,103312.000
opt_6_7b,cam_llm_s,READ_SLICE,0,3,0,1,1,1,90768.000,103312.000,107408.000,-1.000,-1.000,107408.000
opt_6_7b,cam_llm_s,READ_SLICE,0,3,1,1,1,1,90768.000,103312.000,107408.000,-1.000,-1.000,107408.000
opt_6_7b,cam_llm_s,READ_SLICE,0,3,2,1,1,1,90768.000,103312.000,107408.000,-1.000,-1.000,107408.000
opt_6_7b,cam_llm_s,READ_SLICE,0,3,3,1,1,1,90768.000,103312.000,107408.000,-1.000,-1.000,107408.000
opt_6_7b,cam_llm_s,READ_SLICE,0,3,4,1,1,1,90768.000,103312.000,107408.000,-1.000,-1.000,107408.000
opt_6_7b,cam_llm_s,READ_SLICE,0,3,5,1,1,1,90768.000,103312.000,107408.000,-1.000,-1.000,107408.000
opt_6_7b,cam_llm_s,READ_SLICE,0,3,6,1,1,1,90768.000,103312.000,107408.000,-1.000,-1.000,107408.000
opt_6_7b,cam_llm_s,READ_SLICE,0,3,7,1,1,1,90768.000,103312.000,107408.000,-1.000,-1.000,107408.000
opt_6_7b,cam_llm_s,READ_COMPUTE,4,-1,0,0,0,1,121024.000,121024.000,121280.000,121280.000,151280.000,151280.000
opt_6_7b,cam_llm_s,READ_COMPUTE,4,-1,1,0,0,1,121024.000,121024.000,121280.000,121280.000,151280.000,151280.000
opt_6_7b,cam_llm_s,READ_COMPUTE,4,-1,2,0,0,1,121024.000,121024.000,121280.000,121280.000,151280.000,151280.000
opt_6_7b,cam_llm_s,READ_COMPUTE,4,-1,3,0,0,1,121024.000,121024.000,121280.000,121280.000,151280.000,151280.000
opt_6_7b,cam_llm_s,READ_COMPUTE,4,-1,4,0,0,1,121024.000,121024.000,121280.000,121280.000,151280.000,151280.000
opt_6_7b,cam_llm_s,READ_COMPUTE,4,-1,5,0,0,1,121024.000,121024.000,121280.000,121280.000,151280.000,151280.000
