model,cam_llm_s,cam_llm_m,cam_llm_l
opt_6_7b,3.6,11.0,36.3
opt_13b,1.9,4.7,14.2
opt_30b,0.8,2.5,7.6
opt_66b,0.4,1.2,2.6
llama2_7b,3.6,10.4,34.0
llama2_13b,1.9,4.7,14.0
llama2_70b,0.3,1.0,3.4
